,ms.value,dt_conf.value,dt_s.value,country.value,dtnorm.value,dtnorm_label.value,loc_wkt.value,oms.value
0,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692cgwu8xbq1,1e+00,expert,United States of America,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT(-91.759305555556 47.799861111111),
1,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692cgwu8xbq1,1e+00,expert,United States of America,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.759305555556 47.799861111111),
2,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692cgwu8xbq1,1e+00,expert,United States of America,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT(-91.759305555556 47.799861111111),
3,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692cgwu8xbq1,1e+00,expert,United States of America,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.759305555556 47.799861111111),
4,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692cgwu8xbq1,1,SME,United States of America,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT(-91.759305555556 47.799861111111),
5,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692cgwu8xbq1,1,SME,United States of America,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.759305555556 47.799861111111),
6,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692cgwu8xbq1,1,SME,United States of America,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT(-91.759305555556 47.799861111111),
7,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692cgwu8xbq1,1,SME,United States of America,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-91.759305555556 47.799861111111),
8,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306929g3s5x951,1e+00,expert,United States,https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,,
9,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306929g3s5x951,1e+00,expert,United States,https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,,
10,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306929g3s5x951,1,SME,United States,https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,,
11,https://minmod.isi.edu/resource/httpsw3idorgusgsz45306929g3s5x951,1,SME,United States,https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,,
12,https://minmod.isi.edu/resource/site__bohemia-basin-basin-takanis-flapjack__mudd-and-jowitt-2022-nickel__szumigala-et-al-2011,1e+00,expert,USA,https://minmod.isi.edu/resource/Q481,U-M intrusion nickel-copper- PGE,POINT (-136.43427 57.98471),https://minmod.isi.edu/resource/mrds10002326
13,https://minmod.isi.edu/resource/site__northmet-dunka-road__mudd-and-jowitt-2022-nickel__aif-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-92 47.6),https://minmod.isi.edu/resource/mrds10082831
14,https://minmod.isi.edu/resource/site__northmet-dunka-road__mudd-and-jowitt-2022-nickel__aif-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-92 47.6),https://minmod.isi.edu/resource/mrds10082831
15,https://minmod.isi.edu/resource/site__northmet-dunka-road__mudd-and-jowitt-2022-nickel__aif-2018,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-92 47.6),https://minmod.isi.edu/resource/mrds10082831
16,https://minmod.isi.edu/resource/site__snipe-bay__mudd-and-jowitt-2022-nickel__szumigala-et-al-2011,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT (-134.95753 56.42213),https://minmod.isi.edu/resource/mrds10024471
17,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xm7acjdk1,1e+00,expert,United States,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT(-93.1 46.683),https://minmod.isi.edu/resource/mrds10038429
18,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xm7acjdk1,1e+00,expert,United States,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,POINT(-93.1 46.683),https://minmod.isi.edu/resource/mrds10038429
19,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xm7acjdk1,1,SME,United States,https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,POINT(-93.1 46.683),https://minmod.isi.edu/resource/mrds10038429
20,https://minmod.isi.edu/resource/httpsw3idorgusgsz4530692xm7acjdk1,1,SME,United States,https://minmod.isi.edu/resource/Q482,U-M conduit nickel-copper- PGE,POINT(-93.1 46.683),https://minmod.isi.edu/resource/mrds10038429
21,https://minmod.isi.edu/resource/site__wetlegs__mudd-and-jowitt-2022-nickel__miller-et-al-2002-miller-2015,1e+00,expert,USA,https://minmod.isi.edu/resource/Q478,U-M layered intrusion nickel- copper-PGE,,
